,Parameters,LR,Val RMSE,Val MAE,Test RMSE,Test MAE
34,2020_24_24_30_4_0.3_64_30,0.0126,0.0772,0.0623,0.0881,0.0762
5,2020_48_12_60_2_0.1_128_30,0.0089,0.0772,0.0597,0.0608,0.0514
29,2020_48_12_30_2_0.3_64_30,0.0126,0.0795,0.0613,0.0903,0.074
14,2019_24_24_60_4_0.1_64_30,0.0079,0.08,0.0651,0.0716,0.0585
22,2020_24_24_30_2_0.1_64_30,0.0126,0.0839,0.0635,0.0748,0.0607
1,2020_24_12_10_2_0.3_128_30,0.0282,0.084,0.0671,0.0887,0.0738
8,2020_24_24_60_2_0.1_64_30,0.0089,0.0845,0.0668,0.0775,0.0615
19,2020_24_12_10_2_0.1_64_30,0.0282,0.0861,0.0656,0.0745,0.0596
31,2018_24_12_60_4_0.3_128_30,0.0071,0.0873,0.0724,0.0885,0.0681
0,2018_24_12_10_2_0.1_64_30,0.0398,0.0888,0.0705,0.0941,0.071
11,2020_48_12_10_2_0.1_64_30,0.0447,0.0896,0.0725,0.0882,0.076
2,2019_24_24_60_4_0.1_128_30,0.0079,0.0902,0.0725,0.0665,0.0533
2,2018_24_12_10_2_0.3_64_30,0.0398,0.092,0.0781,0.0984,0.0812
6,2018_96_24_30_4_0.3_64_30,0.0141,0.0921,0.0728,0.0944,0.0748
32,2020_48_12_10_4_0.1_128_30,0.0398,0.0935,0.072,0.0858,0.0734
19,2018_48_12_30_4_0.3_128_30,0.0079,0.0945,0.0679,0.103,0.0767
37,2020_48_12_30_4_0.1_128_30,0.0126,0.0947,0.0703,0.106,0.0813
17,2020_48_12_30_2_0.1_64_30,0.0126,0.0964,0.0753,0.0897,0.0733
36,2018_24_24_10_2_0.1_64_30,0.0282,0.0966,0.0795,0.0948,0.0763
3,2018_48_12_10_2_0.3_128_30,0.0282,0.0968,0.0698,0.095,0.0687
1,2019_48_12_30_2_0.3_128_30,0.0158,0.0977,0.0766,0.0761,0.0595
14,2018_24_12_30_2_0.3_64_30,0.0355,0.0978,0.0805,0.1171,0.092
5,2018_24_12_10_4_0.1_128_30,0.0398,0.0984,0.0788,0.1075,0.0837
16,2018_24_12_30_4_0.1_64_30,0.0112,0.0996,0.081,0.0946,0.0733
26,2020_24_12_30_2_0.1_128_30,0.0251,0.1005,0.0826,0.0986,0.0855
28,2018_24_12_60_4_0.1_64_30,0.0071,0.102,0.0842,0.1082,0.0892
15,2019_24_12_30_2_0.3_64_30,0.0141,0.1064,0.0865,0.1034,0.0874
16,2018_48_12_30_4_0.1_64_30,0.0079,0.1066,0.0893,0.1085,0.0828
1,2018_48_12_10_2_0.1_128_30,0.0282,0.1072,0.0772,0.0867,0.0671
50,2018_24_24_30_2_0.3_64_30,0.0178,0.1074,0.0913,0.0933,0.0779
48,2020_48_12_30_4_0.3_128_30,0.0126,0.1081,0.0875,0.1183,0.1011
49,2018_24_24_30_2_0.1_128_30,0.02,0.1095,0.0873,0.0976,0.081
8,2019_48_12_60_2_0.1_128_30,0.0079,0.1106,0.0789,0.0771,0.0577
38,2018_24_24_10_2_0.3_64_30,0.0282,0.1112,0.0821,0.1001,0.0771
18,2018_24_12_30_4_0.3_64_30,0.0112,0.1113,0.0927,0.0997,0.0831
2,2020_24_24_10_2_0.3_128_30,0.0447,0.1128,0.0927,0.0965,0.0832
19,2018_24_12_30_4_0.3_128_30,0.0112,0.1135,0.083,0.1034,0.0761
24,2020_48_24_60_4_0.1_128_30,0.0079,0.1144,0.0897,0.0952,0.0692
1,2018_24_12_10_2_0.1_128_30,0.0398,0.1149,0.0936,0.0959,0.0797
39,2018_24_24_10_2_0.3_128_30,0.0282,0.115,0.1024,0.1175,0.1021
4,2019_24_12_60_2_0.3_128_30,0.01,0.1158,0.0864,0.0964,0.0824
37,2018_24_24_10_2_0.1_128_30,0.0282,0.1181,0.0954,0.115,0.0961
21,2020_48_12_60_4_0.1_64_30,0.01,0.1195,0.0961,0.0918,0.0776
25,2018_48_12_60_2_0.1_128_30,0.0079,0.1203,0.1,0.1162,0.0976
18,2018_48_12_30_4_0.3_64_30,0.0079,0.1209,0.0862,0.1161,0.09
5,2019_48_12_60_4_0.3_128_30,0.0079,0.1213,0.0934,0.0903,0.077
2,2018_48_12_10_2_0.3_64_30,0.0282,0.1228,0.0946,0.1002,0.0824
12,2018_48_12_30_2_0.1_64_30,0.0178,0.1234,0.1047,0.1164,0.0978
17,2018_24_12_30_4_0.1_128_30,0.0112,0.1261,0.1119,0.1276,0.1128
13,2018_48_12_30_2_0.1_128_30,0.0178,0.1284,0.1098,0.1218,0.104
46,2020_24_12_30_2_0.3_64_30,0.0355,0.1288,0.104,0.1386,0.1209
25,2018_24_12_60_2_0.1_128_30,0.01,0.1291,0.1039,0.0973,0.0857
26,2018_24_12_60_2_0.3_64_30,0.01,0.1293,0.1102,0.1143,0.0959
24,2018_48_12_60_2_0.1_64_30,0.0079,0.1328,0.1107,0.1168,0.0983
29,2018_24_12_60_4_0.1_128_30,0.0071,0.136,0.1175,0.1224,0.1049
12,2018_24_12_30_2_0.1_64_30,0.0141,0.1367,0.1201,0.1162,0.1026
47,2020_24_24_10_4_0.1_64_30,0.0398,0.1399,0.1084,0.0899,0.0771
7,2018_24_12_10_4_0.3_128_30,0.0398,0.1401,0.1159,0.1268,0.1084
0,2018_48_12_10_2_0.1_64_30,0.0282,0.1413,0.1188,0.1377,0.1164
28,2020_48_24_30_2_0.3_64_30,0.01,0.1435,0.121,0.1045,0.084
24,2018_24_12_60_2_0.1_64_30,0.01,0.1451,0.1051,0.1174,0.0845
48,2018_24_24_30_2_0.1_64_30,0.02,0.1466,0.131,0.1433,0.1285
20,2018_24_12_30_8_0.1_64_30,0.0112,0.1492,0.1265,0.1449,0.1188
8,2018_48_12_10_8_0.1_64_30,0.0794,0.1504,0.128,0.1337,0.1134
17,2018_48_12_30_4_0.1_128_30,0.0079,0.1512,0.1345,0.1426,0.1227
34,2018_24_12_60_8_0.3_64_30,0.01,0.1513,0.1277,0.1503,0.1226
12,2019_48_12_60_8_0.1_128_30,0.0079,0.1514,0.1231,0.1089,0.0934
41,2018_24_24_10_4_0.1_128_30,0.0891,0.1514,0.129,0.1275,0.1106
35,2018_24_12_60_8_0.3_128_30,0.01,0.1516,0.1288,0.1297,0.1116
21,2018_48_12_30_8_0.1_128_30,0.0079,0.1522,0.1278,0.1553,0.1255
3,2018_24_12_10_2_0.3_128_30,0.0398,0.1524,0.1331,0.1383,0.1201
4,2018_96_12_10_8_0.1_64_30,0.0447,0.1525,0.1296,0.1288,0.111
47,2018_24_24_10_8_0.3_128_30,0.0708,0.1528,0.1297,0.1295,0.1114
6,2018_48_12_10_4_0.3_64_30,0.0891,0.1529,0.1285,0.1522,0.1243
15,2018_48_12_30_2_0.3_128_30,0.1413,0.1533,0.1288,0.153,0.1248
27,2018_24_12_60_2_0.3_128_30,0.01,0.1539,0.1292,0.1426,0.1213
2,2018_96_24_30_8_0.1_128_30,0.0089,0.154,0.1306,0.1264,0.1106
33,2018_24_12_60_8_0.1_128_30,0.01,0.1541,0.1287,0.1614,0.1298
17,2019_24_12_10_8_0.1_64_30,0.0794,0.1544,0.1248,0.1148,0.0971
11,2018_24_12_10_8_0.3_128_30,0.0398,0.1549,0.131,0.1266,0.1105
46,2018_24_24_10_8_0.3_64_30,0.0708,0.1551,0.1312,0.1268,0.1105
4,2018_24_12_10_4_0.1_64_30,0.0398,0.1552,0.1294,0.1632,0.1315
3,2019_48_12_30_8_0.1_128_30,0.0141,0.1552,0.1255,0.1095,0.0945
1,2018_96_24_10_8_0.1_64_30,0.0355,0.156,0.1319,0.1255,0.1102
23,2018_24_12_30_8_0.3_128_30,0.0112,0.1571,0.1324,0.1261,0.1105
0,2018_96_12_30_4_0.3_64_30,0.0891,0.1572,0.1322,0.1296,0.1118
22,2018_24_12_30_8_0.3_64_30,0.0112,0.1577,0.131,0.1667,0.1347
43,2018_24_24_10_4_0.3_128_30,0.0891,0.1579,0.1329,0.1266,0.1106
7,2018_48_12_10_4_0.3_128_30,0.0891,0.1604,0.1345,0.1249,0.11
23,2018_48_12_30_8_0.3_128_30,0.0141,0.1616,0.1351,0.1256,0.1106
21,2018_24_12_30_8_0.1_128_30,0.0112,0.1619,0.1337,0.1768,0.1435
32,2018_24_12_60_8_0.1_64_30,0.01,0.1628,0.1342,0.1772,0.144
5,2018_96_12_30_4_0.3_128_30,0.0891,0.1645,0.137,0.1253,0.1106
11,2019_48_12_10_4_0.3_128_30,0.0794,0.1665,0.1327,0.1144,0.0979
14,2018_48_12_30_2_0.3_64_30,0.1413,0.1687,0.1387,0.1846,0.1505
42,2018_24_24_10_4_0.3_64_30,0.0891,0.1702,0.1405,0.1282,0.112
7,2020_24_12_30_2_0.1_64_30,0.0251,0.1722,0.1464,0.1877,0.1745
26,2018_48_12_60_2_0.3_64_30,0.0079,0.1722,0.1547,0.1795,0.1633
7,2018_96_12_10_4_0.3_128_30,0.0794,0.1733,0.1424,0.128,0.1116
20,2018_48_12_30_8_0.1_64_30,0.0079,0.1745,0.143,0.1299,0.1122
45,2018_24_24_10_8_0.1_128_30,0.0708,0.1761,0.1443,0.1312,0.1133
10,2019_24_12_60_2_0.1_64_30,0.01,0.1766,0.1218,0.0666,0.0493
33,2020_48_24_60_8_0.1_64_30,0.0079,0.1767,0.1287,0.0937,0.0784
18,2020_48_24_10_8_0.1_64_30,0.0631,0.1769,0.1281,0.0918,0.0774
39,2020_48_12_10_8_0.3_128_30,0.0398,0.1775,0.1334,0.1033,0.0842
40,2020_48_12_60_4_0.1_128_30,0.01,0.1778,0.1313,0.0979,0.0804
13,2020_24_12_60_4_0.1_64_30,0.0141,0.1778,0.1318,0.0998,0.0817
13,2018_24_12_30_2_0.1_128_30,0.0141,0.1783,0.1518,0.1504,0.1276
16,2019_24_24_10_8_0.3_128_30,0.0282,0.1787,0.1493,0.1843,0.1567
30,2018_24_12_60_4_0.3_64_30,0.0071,0.1788,0.1589,0.1582,0.1367
35,2020_48_12_10_4_0.3_128_30,0.0398,0.1796,0.1385,0.1136,0.0925
38,2020_48_24_30_4_0.1_64_30,0.0282,0.1796,0.1285,0.0904,0.0774
6,2020_48_24_30_8_0.1_64_30,0.01,0.1803,0.1286,0.0901,0.0777
15,2020_48_12_10_4_0.3_64_30,0.0398,0.1808,0.1416,0.1199,0.0982
4,2020_48_12_60_8_0.3_64_30,0.0112,0.1812,0.1421,0.1206,0.0987
43,2020_24_24_10_4_0.1_128_30,0.0398,0.1859,0.1462,0.1596,0.1335
0,2020_48_12_30_8_0.1_64_30,0.0126,0.1871,0.1519,0.1386,0.1161
31,2020_48_12_60_8_0.1_128_30,0.0355,0.1872,0.1519,0.1388,0.1163
3,2020_24_12_60_8_0.1_64_30,0.0126,0.1874,0.1522,0.139,0.1164
44,2018_24_24_10_8_0.1_64_30,0.0708,0.188,0.1524,0.1384,0.1168
23,2020_24_12_30_8_0.3_64_30,0.0251,0.1881,0.1323,0.0918,0.0786
0,2019_24_12_60_8_0.1_128_30,0.01,0.1881,0.1578,0.1981,0.1708
11,2018_48_12_10_8_0.3_128_30,0.0794,0.1891,0.1529,0.1379,0.1166
40,2018_24_24_10_4_0.1_64_30,0.0891,0.1894,0.1532,0.139,0.1172
36,2020_48_24_10_8_0.3_128_30,0.0631,0.193,0.1355,0.0961,0.0816
9,2020_24_12_10_4_0.1_64_30,0.0447,0.1952,0.1623,0.1556,0.1324
10,2020_24_12_60_4_0.3_128_30,0.0141,0.1964,0.1371,0.0968,0.0819
5,2018_48_12_10_4_0.1_128_30,0.0891,0.1969,0.1589,0.1435,0.1196
14,2020_48_12_30_8_0.1_128_30,0.0126,0.1985,0.1666,0.1627,0.1398
4,2018_48_12_10_4_0.1_64_30,0.0891,0.2053,0.1648,0.1486,0.1222
15,2018_24_12_30_2_0.3_128_30,0.0355,0.214,0.1885,0.1743,0.1494
41,2020_24_12_10_4_0.3_64_30,0.0447,0.2193,0.1904,0.1961,0.1741
8,2018_24_12_10_8_0.1_64_30,0.0398,0.2244,0.1807,0.165,0.1332
45,2020_24_12_60_8_0.1_128_30,0.0126,0.2362,0.169,0.1411,0.1147
9,2018_48_12_10_8_0.1_128_30,0.0794,0.2497,0.2103,0.2897,0.2589
44,2020_24_12_10_8_0.3_128_30,0.0355,0.2498,0.1826,0.157,0.1308
10,2018_24_12_10_8_0.3_64_30,0.0398,0.2551,0.2167,0.2958,0.2672
9,2018_24_12_10_8_0.1_128_30,0.0398,0.2809,0.2424,0.3248,0.2964
6,2018_24_12_10_4_0.3_64_30,0.0398,0.3038,0.2687,0.3496,0.3253
22,2018_48_12_30_8_0.3_64_30,0.0141,0.3038,0.2686,0.3492,0.3256
10,2018_48_12_10_8_0.3_64_30,0.0794,0.4323,0.4063,0.4834,0.4668
