Wall time,Step,Value
1683055291.701944,63,0.40015503764152527
1683055294.8471591,127,-0.10002118349075317
1683055298.079063,191,0.005956172943115234
1683055301.630315,255,-0.27749449014663696
1683055304.934735,319,-0.011549679562449455
1683055308.0603368,383,-0.28401979804039
1683055311.1521122,447,-0.20206066966056824
1683055314.5416708,511,-0.3598174750804901
1683055317.824796,575,-0.6291073560714722
1683055321.086415,639,-0.7097761631011963
1683055324.2891588,703,-0.33807235956192017
1683055327.585778,767,-0.5628985166549683
1683055330.646873,831,-0.6419280171394348
1683055333.805171,895,-0.6057100892066956
1683055337.334688,959,-0.27144739031791687
1683055340.749575,1023,-0.5419549345970154
1683055343.9816918,1087,-0.5420327186584473
1683055347.114374,1151,-0.616532564163208
1683055350.5988202,1215,-0.6491589546203613
1683055353.907795,1279,-0.1529693752527237
1683055357.0251038,1343,-0.9082491993904114
1683055360.1438248,1407,-0.8237264752388
1683055363.40506,1471,-0.7044299840927124
